Frame,Detected Brand,Category
1,NIVEA,Personal Care
2,Pondâ€™s,Personal Care
3,TresemmÃ©,Personal Care
4,CHOCOS,Food & Beverages
5,Hide & Seek,Food & Beverages
6,N/A,N/A
1,N/A,N/A
1,N/A,N/A
2,Tresemmé,Personal Care
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
5,N/A,N/A
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
5,N/A,N/A
6,Tresemmé,Personal Care
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
5,N/A,N/A
6,Tresemmé,Personal Care
7,Ching’s Secret Schezwan,Food & Beverages
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
5,N/A,N/A
6,Tresemmé,Personal Care
7,Ching’s Secret Schezwan,Food & Beverages
8,Tresemmé,Personal Care
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
5,N/A,N/A
6,Tresemmé,Personal Care
7,Ching’s Secret Schezwan,Food & Beverages
8,Tresemmé,Personal Care
9,N/A,N/A
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
5,N/A,N/A
6,Tresemmé,Personal Care
7,Ching’s Secret Schezwan,Food & Beverages
8,Tresemmé,Personal Care
9,N/A,N/A
10,Tresemmé,Personal Care
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
5,N/A,N/A
6,Tresemmé,Personal Care
7,Ching’s Secret Schezwan,Food & Beverages
8,Tresemmé,Personal Care
9,N/A,N/A
10,Tresemmé,Personal Care
11,N/A,N/A
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
5,N/A,N/A
6,Tresemmé,Personal Care
7,Ching’s Secret Schezwan,Food & Beverages
8,Tresemmé,Personal Care
9,N/A,N/A
10,Tresemmé,Personal Care
11,N/A,N/A
1,Tresemmé,Personal Care
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
5,N/A,N/A
6,Tresemmé,Personal Care
7,Ching’s Secret Schezwan,Food & Beverages
8,Tresemmé,Personal Care
9,N/A,N/A
10,Tresemmé,Personal Care
11,N/A,N/A
1,Tresemmé,Personal Care
2,N/A,N/A
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
5,N/A,N/A
6,Tresemmé,Personal Care
7,Ching’s Secret Schezwan,Food & Beverages
8,Tresemmé,Personal Care
9,N/A,N/A
10,Tresemmé,Personal Care
11,N/A,N/A
1,Tresemmé,Personal Care
2,N/A,N/A
3,Raw Pressery,Food & Beverages
1,N/A,N/A
2,Tresemmé,Personal Care
3,N/A,N/A
4,Tresemmé,Personal Care
5,N/A,N/A
6,Tresemmé,Personal Care
7,Ching’s Secret Schezwan,Food & Beverages
8,Tresemmé,Personal Care
9,N/A,N/A
10,Tresemmé,Personal Care
11,N/A,N/A
1,Tresemmé,Personal Care
2,N/A,N/A
3,Raw Pressery,Food & Beverages
4,N/A,N/A
